ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
AGhsA071116	6.36e-38	1.06e-40	17.774413	81.996512	0.9284602	LEPRE1	leucine proline-enriched proteoglycan (leprecan) 1
AGhsC250820	9.11e-38	1.58e-40	17.710972	81.602539	0.8115364		
AGhsB140603	1.03e-37	1.84e-40	17.685801	81.446099	1.0453639		
AGhsB170615	1.63e-37	3.04e-40	17.606265	80.95134	1.0611944		
AGhsC141208	2.05e-37	3.96e-40	17.564083	80.68867	0.9712113		
AGhsB140403	2.94e-37	5.86e-40	17.501639	80.299481	0.8768009	MEOX2	mesenchyme homeobox 2
AGhsC120816	3.69e-37	7.61e-40	17.460137	80.040579	0.8140212		
AGhsA210817	5.12e-37	1.09e-39	-17.403147	79.684769	-1.150844	HLA-DRA	major histocompatibility complex, class II, DR alpha
AGhsC031608	5.12e-37	1.12e-39	17.398271	79.65431	0.8101331		
AGhsA150805	6.49e-37	1.47e-39	17.355904	79.389556	0.8408642	PIGL	phosphatidylinositol glycan anchor biosynthesis, class L
AGhsA170821	6.93e-37	1.61e-39	17.340749	79.294802	0.8040061	ATP2B1	ATPase, Ca++ transporting, plasma membrane 1
AGhsB121617	1.78e-36	4.27e-39	-17.186825	78.331104	-0.6050152		
AGhsA011423	3.07e-36	7.56e-39	-17.096485	77.76436	-1.2502375	NPIP	nuclear pore complex interacting protein
AGhsB251608	5.21e-36	1.32e-38	17.008797	77.213465	0.9425371	EPR1	effector cell peptidase receptor 1
AGhsB130122	9.06e-36	2.35e-38	-16.91741	76.638514	-0.7800691	TUBA1B	tubulin, alpha 1b
AGhsA030607	1.11e-35	2.96e-38	16.880909	76.408645	0.8294003	ZNF84	zinc finger protein 84
AGhsB190804	1.11e-35	3.02e-38	16.877972	76.390142	0.7823602		
AGhsA211510	1.34e-35	3.73e-38	-16.844679	76.180347	-0.9245317	CD74	CD74 molecule, major histocompatibility complex, class II invariant chain
AGhsA231605	1.50e-35	4.30e-38	16.822406	76.03994	0.7892166	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B
AGhsC251614	3.40e-35	9.97e-38	16.690286	75.206044	1.0352392		
AGhsC200110	4.81e-35	1.44e-37	16.632654	74.841774	1.0235158		
AGhsB070914	4.95e-35	1.51e-37	16.62458	74.790713	0.810246		
AGhsA100620	5.23e-35	1.64e-37	16.612518	74.714423	0.9070856	NEK6	NIMA (never in mitosis gene a)-related kinase 6
AGhsA251019	5.45e-35	1.74e-37	-16.602949	74.653888	-0.8602948	CAPZB	capping protein (actin filament) muscle Z-line, beta
AGhsC120203	5.78e-35	1.89e-37	16.590275	74.573704	0.9708827		
AGhsA210717	1.04e-34	3.44e-37	16.49587	73.975943	0.986191	TMEM30A	transmembrane protein 30A
AGhsB111607	1.05e-34	3.58e-37	-16.489883	73.938005	-0.8649596	URP2	UNC-112 related protein 2
AGhsB091506	1.06e-34	3.68e-37	16.485664	73.911272	0.7756166	C10orf137	chromosome 10 open reading frame 137
AGhsB080606	1.23e-34	4.34e-37	-16.459633	73.746277	-0.4938174	PARP10	poly (ADP-ribose) polymerase family, member 10
AGhsA191608	1.31e-34	4.72e-37	16.446587	73.663565	1.0123164		
AGhsC251106	1.49e-34	5.46e-37	-16.423706	73.518455	-0.5802139		
AGhsC171308	1.73e-34	6.46e-37	16.397522	73.352339	1.0717874		
AGhsC211619	1.86e-34	7.04e-37	16.383942	73.266165	0.7156469		
AGhsC080416	2.15e-34	8.30e-37	16.35828	73.103267	0.943371		
AGhsC070320	2.24e-34	8.78e-37	16.349567	73.047949	0.7626028	LOC440525///ZNF546///ZNF780B///FCGBP///PSMC4	proline rich 13 pseudogene///zinc finger protein 546///zinc finger protein 780B///Fc fragment of IgG binding protein///proteasome (prosome, macropain) 26S subunit, ATPase, 4
AGhsC110608	5.75e-34	2.30e-36	16.199461	72.093824	0.8127106		
AGhsA180421	6.29e-34	2.55e-36	16.18298	71.988945	0.6472102	NNMT	nicotinamide N-methyltransferase
AGhsA050602	7.68e-34	3.17e-36	16.149295	71.774508	0.7030273	CA14	carbonic anhydrase XIV
AGhsB241319	8.14e-34	3.41e-36	-16.137848	71.701619	-0.5770805	CEL	carboxyl ester lipase (bile salt-stimulated lipase)
AGhsB250204	8.78e-34	3.74e-36	16.123485	71.610139	0.7810411		
AGhsA241605	8.94e-34	3.87e-36	16.118257	71.57684	0.885246	TBX19	T-box 19
AGhsA061610	9.06e-34	3.98e-36	16.113833	71.548656	0.9305947	GABRD	gamma-aminobutyric acid (GABA) A receptor, delta
AGhsA051021	2.16e-33	9.64e-36	15.976118	70.670543	0.7207665		
AGhsB211603	2.18e-33	9.84e-36	15.972937	70.650243	0.69969	PDE6H	phosphodiesterase 6H, cGMP-specific, cone, gamma
AGhsC091507	2.30e-33	1.05e-35	15.962258	70.582081	0.6120603		
AGhsC261008	2.80e-33	1.31e-35	15.928993	70.369696	0.8081806		
AGhsA161609	3.85e-33	1.82e-35	15.877372	70.03993	0.7065718	BDKRB1	bradykinin receptor B1
AGhsB230310	3.96e-33	1.90e-35	15.871102	69.99986	0.7536759	NEXN	nexilin (F actin binding protein)
AGhsB120917	4.87e-33	2.37e-35	-15.836614	69.779405	-0.9781755	FNBP1	formin binding protein 1
AGhsB170604	5.02e-33	2.47e-35	-15.829865	69.736258	-1.2023096		
AGhsA061421	6.95e-33	3.47e-35	15.77732	69.400161	0.5514555	SLC8A1	solute carrier family 8 (sodium/calcium exchanger), member 1
AGhsC070317	7.07e-33	3.58e-35	15.772618	69.370077	0.6610327		
AGhsB211416	7.19e-33	3.68e-35	15.768104	69.341193	0.7223282		
AGhsA020318	8.47e-33	4.39e-35	15.74072	69.165927	0.8513022	SLC22A17	solute carrier family 22 (organic cation transporter), member 17
AGhsB080902	8.76e-33	4.65e-35	-15.731964	69.109873	-1.0467689		
AGhsB220106	8.76e-33	4.66e-35	-15.731558	69.107277	-0.4979582	MAGED1	melanoma antigen family D, 1
AGhsC070415	9.03e-33	4.87e-35	15.724834	69.064226	1.0023686		
AGhsC110816	9.44e-33	5.15e-35	15.716009	69.00772	0.9182429		
AGhsB210517	9.75e-33	5.38e-35	-15.709247	68.964422	-0.6312871		
AGhsB060914	1.18e-32	6.63e-35	15.676873	68.757059	0.8348551		
AGhsA220409	1.18e-32	6.69e-35	15.675556	68.748625	0.8236169	PRKAA1	protein kinase, AMP-activated, alpha 1 catalytic subunit
AGhsA040910	1.57e-32	8.96e-35	-15.630379	68.459123	-1.1281671	PPP1CA	protein phosphatase 1, catalytic subunit, alpha isoform
AGhsA051223	2.16e-32	1.25e-34	15.578504	68.1265	0.87594	MRPS10	mitochondrial ribosomal protein S10
AGhsB120603	2.20e-32	1.29e-34	-15.574376	68.100023	-0.454904		
AGhsB140315	2.27e-32	1.35e-34	-15.566442	68.04913	-1.0351213	LCK	lymphocyte-specific protein tyrosine kinase
AGhsB160807	2.27e-32	1.36e-34	15.565954	68.046002	0.7466509		
AGhsA050618	2.58e-32	1.56e-34	15.544448	67.908027	1.6381907	S100A12	S100 calcium binding protein A12
AGhsB151309	2.71e-32	1.66e-34	-15.53525	67.849002	-0.4868261	HRES1	HTLV-1 related endogenous sequence
AGhsB060605	3.09e-32	1.91e-34	-15.513303	67.708148	-0.6113528	SF3B3	splicing factor 3b, subunit 3, 130kDa
AGhsC181218	3.28e-32	2.05e-34	15.502438	67.638402	0.6427257		
AGhsB220402	3.50e-32	2.21e-34	-15.490713	67.563129	-0.8130846	HMHA1///POLR2E///GPX4	histocompatibility (minor) HA-1///polymerase (RNA) II (DNA directed) polypeptide E, 25kDa///glutathione peroxidase 4 (phospholipid hydroperoxidase)
AGhsA221311	3.85e-32	2.46e-34	-15.474247	67.457399	-0.886341	LRPAP1	low density lipoprotein receptor-related protein associated protein 1
AGhsB140809	3.94e-32	2.54e-34	-15.469136	67.424576	-1.0718464	ALB	albumin
AGhsA131609	4.04e-32	2.64e-34	15.46344	67.387996	0.7653066	C19orf61	chromosome 19 open reading frame 61
AGhsB220215	4.28e-32	2.82e-34	15.453084	67.321479	0.8991055	ARF4	ADP-ribosylation factor 4
AGhsB210813	6.01e-32	4.00e-34	-15.399124	66.974775	-1.1334788		
AGhsB161617	8.90e-32	5.98e-34	-15.336916	66.57481	-0.6476415		
AGhsC250407	1.08e-31	7.36e-34	15.304947	66.369161	0.6983827		
AGhsB111417	1.18e-31	8.07e-34	15.290691	66.277431	0.6563309	C9orf125	chromosome 9 open reading frame 125
AGhsA111614	1.25e-31	8.66e-34	15.279893	66.207943	0.8886119	NOC2L	nucleolar complex associated 2 homolog (S. cerevisiae)
AGhsB121219	1.32e-31	9.25e-34	15.269761	66.142733	0.790967	LRRC8D	leucine rich repeat containing 8 family, member D
AGhsB130912	1.46e-31	1.03e-33	-15.253377	66.037269	-0.9594963	IL2RG	interleukin 2 receptor, gamma (severe combined immunodeficiency)
AGhsA180615	2.01e-31	1.43e-33	15.202248	65.708034	0.8796765	PPME1	protein phosphatase methylesterase 1
AGhsC151503	2.05e-31	1.47e-33	15.198128	65.681495	0.6943413		
AGhsC191608	2.51e-31	1.82e-33	15.165308	65.470059	0.5896631		
AGhsA261509	2.68e-31	1.96e-33	15.154189	65.398406	0.6612365		
AGhsB031220	3.62e-31	2.67e-33	15.106442	65.090634	0.5517554	NOX1	NADPH oxidase 1
AGhsC030509	3.85e-31	2.87e-33	15.09557	65.020535	0.7858861		
AGhsC231305	4.00e-31	3.01e-33	-15.088206	64.973048	-0.5116796		
AGhsC170420	4.21e-31	3.19e-33	15.078976	64.913526	0.6922793		
AGhsB100819	5.92e-31	4.53e-33	15.025176	64.566464	0.863531		
AGhsC230304	6.01e-31	4.64e-33	15.021539	64.542998	0.6550118		
AGhsB050502	8.38e-31	6.53e-33	14.96898	64.203749	0.618531	TDRD1	tudor domain containing 1
AGhsA171206	9.40e-31	7.38e-33	14.95017	64.0823	0.7022844	NCKAP1L	NCK-associated protein 1-like
AGhsA200113	1.05e-30	8.33e-33	14.931568	63.962169	0.6830593		
AGhsA081612	1.08e-30	8.66e-33	14.925546	63.923269	0.836688	KLF8	Kruppel-like factor 8
AGhsC030307	1.25e-30	1.01e-32	14.901649	63.768907	0.6866324		
AGhsB130820	1.25e-30	1.02e-32	14.900586	63.76204	0.74969		
AGhsC040718	1.30e-30	1.07e-32	14.893608	63.716953	0.8611809		
AGhsA200724	1.38e-30	1.13e-32	14.884017	63.654986	1.031688	HOXA11	homeobox A11
AGhsB150405	2.00e-30	1.66e-32	14.825645	63.277714	0.5355323		
AGhsB160116	2.08e-30	1.74e-32	14.818385	63.230779	0.9034215		
AGhsB090704	2.18e-30	1.84e-32	14.809688	63.174548	0.7046681	RABGAP1L	RAB GTPase activating protein 1-like
AGhsA220621	2.47e-30	2.10e-32	-14.789418	63.043474	-0.4481082	CNO	cappuccino homolog (mouse)
AGhsC230913	2.53e-30	2.17e-32	14.784619	63.012435	0.8735192		
AGhsB210420	3.12e-30	2.70e-32	14.751019	62.795098	0.7860495	C8orf17	chromosome 8 open reading frame 17
AGhsB230808	3.48e-30	3.03e-32	14.733246	62.680111	0.6623248		
AGhsB120109	3.66e-30	3.22e-32	-14.724142	62.621205	-0.4979431	CAPZB	capping protein (actin filament) muscle Z-line, beta
AGhsA181521	4.41e-30	3.90e-32	-14.694602	62.430036	-0.5021614	NEURL	neuralized homolog (Drosophila)
AGhsB020703	4.85e-30	4.33e-32	-14.678666	62.326882	-0.5686826		
AGhsB201516	6.54e-30	5.88e-32	14.631746	62.023091	0.6657749		
AGhsC100503	7.72e-30	7.00e-32	14.604952	61.849557	0.8044188		
AGhsB090707	7.72e-30	7.04e-32	-14.604029	61.843577	-0.617345	HCST	hematopoietic cell signal transducer
AGhsA111005	7.88e-30	7.23e-32	-14.599936	61.817063	-0.6248433	KCNK3	potassium channel, subfamily K, member 3
AGhsA020903	1.07e-29	9.87e-32	14.552307	61.508487	0.7613999	RXRG	retinoid X receptor, gamma
AGhsA111321	1.22e-29	1.13e-31	14.531282	61.372232	0.8017251	FCGR2A	Fc fragment of IgG, low affinity IIa, receptor (CD32)
AGhsA131306	1.27e-29	1.19e-31	-14.523148	61.319509	-0.519471	TRIM28	tripartite motif-containing 28
AGhsB260616	1.69e-29	1.60e-31	-14.478394	61.029382	-0.6091493	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6 (Ku autoantigen, 70kDa)
AGhsA041011	1.74e-29	1.65e-31	14.473209	60.995763	0.7277914	INPP5F	inositol polyphosphate-5-phosphatase F
AGhsB260220	1.78e-29	1.70e-31	14.46864	60.966136	0.6382463		
AGhsC080810	1.86e-29	1.79e-31	14.460825	60.915458	0.8234097		
AGhsB180907	2.04e-29	1.98e-31	14.445715	60.817468	0.8725825	MAP4	microtubule-associated protein 4
AGhsA211221	2.08e-29	2.03e-31	14.441545	60.790426	0.6271799	EGR1	early growth response 1
AGhsA111616	2.24e-29	2.20e-31	14.429518	60.712419	0.7244205	GPATCH4	G patch domain containing 4
AGhsB161207	2.42e-29	2.40e-31	14.416045	60.625026	0.8035125		
AGhsA050421	2.57e-29	2.56e-31	14.406279	60.561668	1.0713595	EGR4	early growth response 4
AGhsB121615	3.32e-29	3.33e-31	14.366053	60.30067	0.7031469	SETD3	SET domain containing 3
AGhsA181218	3.83e-29	3.88e-31	-14.342933	60.150625	-0.7825943	HSPA8	heat shock 70kDa protein 8
AGhsA141424	4.33e-29	4.40e-31	-14.323427	60.024018	-0.7982008	CCR7	chemokine (C-C motif) receptor 7
AGhsA121318	5.75e-29	5.90e-31	14.278861	59.734682	0.7258575	C22orf24	chromosome 22 open reading frame 24
AGhsA021316	7.04e-29	7.26e-31	14.247044	59.528061	0.6453555		
AGhsA200111	7.12e-29	7.39e-31	14.244371	59.5107	0.6586472	CPNE3	copine III
AGhsC111301	7.78e-29	8.21e-31	14.228357	59.406692	0.8193851		
AGhsC220419	7.78e-29	8.22e-31	14.228173	59.405497	0.8565532		
AGhsB200211	7.78e-29	8.23e-31	-14.227871	59.403531	-0.8577544		
AGhsB111501	8.26e-29	8.79e-31	14.217869	59.338564	0.978622	KIAA0515	KIAA0515
AGhsA130522	9.21e-29	9.87e-31	-14.200142	59.223401	-0.964973	RPN2	ribophorin II
AGhsA040719	1.02e-28	1.10e-30	14.183869	59.117675	0.8122102	ARF3	ADP-ribosylation factor 3
AGhsC061419	1.14e-28	1.23e-30	14.166308	59.003574	0.7821327		
AGhsA011410	1.19e-28	1.30e-30	14.158532	58.953039	0.6358491	FFAR3	free fatty acid receptor 3
AGhsB250303	1.36e-28	1.49e-30	14.137444	58.815993	0.6159906	SLC17A3	solute carrier family 17 (sodium phosphate), member 3
AGhsB210102	1.48e-28	1.64e-30	-14.123024	58.722275	-0.9172877		
AGhsA211008	1.49e-28	1.65e-30	-14.121543	58.712648	-0.7951179	CCND3	cyclin D3
AGhsB130105	1.49e-28	1.66e-30	-14.120364	58.704983	-0.6359535		
AGhsB130108	1.71e-28	1.93e-30	14.097872	58.558775	0.7448585	LOC554202	hypothetical LOC554202
AGhsB171021	2.02e-28	2.29e-30	14.071875	58.389763	0.945374		
AGhsA151205	2.05e-28	2.34e-30	-14.068555	58.368178	-0.8854902	CORO1A	coronin, actin binding protein, 1A
AGhsB250403	2.08e-28	2.38e-30	14.065532	58.348523	0.5739404		
AGhsB121316	2.57e-28	2.96e-30	-14.032315	58.13252	-0.487035	PCTK3	PCTAIRE protein kinase 3
AGhsB051406	2.61e-28	3.02e-30	-14.029525	58.114377	-0.4830593	TRPV6	transient receptor potential cation channel, subfamily V, member 6
AGhsB090106	2.81e-28	3.28e-30	-14.016935	58.032496	-0.7307126	RSL1D1	ribosomal L1 domain containing 1
AGhsB261518	2.88e-28	3.38e-30	14.012321	58.00249	0.6529835		
AGhsA140923	2.97e-28	3.50e-30	14.007115	57.96863	0.7640852	DHX34	DEAH (Asp-Glu-Ala-His) box polypeptide 34
AGhsA101314	3.32e-28	3.94e-30	13.988993	57.850755	0.8331233	MAN1A1	mannosidase, alpha, class 1A, member 1
AGhsC060717	3.33e-28	3.96e-30	-13.987902	57.843657	-0.5681267		
AGhsA041420	3.65e-28	4.37e-30	13.973188	57.747941	0.6300775	KIF25	kinesin family member 25
AGhsB160819	3.90e-28	4.70e-30	13.96195	57.674829	0.747308		
AGhsA030823	5.17e-28	6.26e-30	-13.918119	57.389644	-0.8589471	HLA-DQB1	major histocompatibility complex, class II, DQ beta 1
AGhsA090510	5.43e-28	6.61e-30	-13.909847	57.335813	-0.6011624	CIC	capicua homolog (Drosophila)
AGhsA121502	6.29e-28	7.70e-30	13.886556	57.184233	0.7704616	UPB1	ureidopropionase, beta
AGhsA030505	6.31e-28	7.77e-30	-13.885308	57.17611	-1.2458625	CCL5	chemokine (C-C motif) ligand 5
AGhsB011305	6.58e-28	8.14e-30	-13.878086	57.12911	-0.5255947	BAI1	brain-specific angiogenesis inhibitor 1
AGhsA081222	7.45e-28	9.27e-30	13.858366	57.000752	0.8715212	CHD9	chromodomain helicase DNA binding protein 9
AGhsB211122	8.10e-28	1.01e-29	13.844721	56.911933	0.7220216	PRB1	proline-rich protein BstNI subfamily 1
AGhsB071218	8.27e-28	1.04e-29	-13.840833	56.886619	-0.4919862	LRRC56	leucine rich repeat containing 56
AGhsA260506	8.99e-28	1.14e-29	-13.827337	56.79876	-0.6880863		
AGhsA221414	1.04e-27	1.32e-29	-13.804352	56.649116	-1.3291678	GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
AGhsB061603	1.10e-27	1.41e-29	13.794722	56.58642	0.5097439	LRRC3B	leucine rich repeat containing 3B
AGhsB121513	1.17e-27	1.51e-29	-13.784487	56.519772	-0.8974478	SHOX2	short stature homeobox 2
AGhsC201219	1.18e-27	1.53e-29	13.782305	56.505566	0.7872608		
AGhsA230823	1.31e-27	1.69e-29	-13.766435	56.402223	-0.7881924	AP2M1	adaptor-related protein complex 2, mu 1 subunit
AGhsC220607	1.42e-27	1.85e-29	13.75308	56.315252	0.7761135		
AGhsB130407	1.53e-27	2.00e-29	13.741233	56.238099	0.8048821	MFSD2	major facilitator superfamily domain containing 2
AGhsB131121	1.53e-27	2.01e-29	-13.740371	56.232487	-0.8503015		
AGhsB221104	1.73e-27	2.29e-29	-13.720814	56.105112	-0.4521193	DOC2A	double C2-like domains, alpha
AGhsB011521	1.74e-27	2.32e-29	-13.718727	56.091518	-0.4835681	ZBED1	zinc finger, BED-type containing 1
AGhsB030606	1.83e-27	2.44e-29	-13.710569	56.038385	-0.6229279	IL16	interleukin 16 (lymphocyte chemoattractant factor)
AGhsB130918	2.12e-27	2.84e-29	-13.687522	55.888258	-0.9898854	HSPA9	heat shock 70kDa protein 9 (mortalin)
AGhsB151514	2.56e-27	3.46e-29	-13.65786	55.695021	-0.6854481		
AGhsA250212	2.85e-27	3.87e-29	-13.640435	55.581495	-0.9351904	SFRS4	splicing factor, arginine/serine-rich 4
AGhsC051113	2.87e-27	3.92e-29	13.638625	55.569706	0.5946041		
AGhsA151221	3.01e-27	4.12e-29	13.630986	55.51993	0.4699141	CLEC3A	C-type lectin domain family 3, member A
AGhsB091008	3.11e-27	4.28e-29	13.625205	55.482269	0.6196883	C20orf82///SPTLC3	chromosome 20 open reading frame 82///serine palmitoyltransferase, long chain base subunit 3
AGhsB210708	3.24e-27	4.48e-29	-13.618297	55.437256	-0.4998299		
AGhsC211216	3.58e-27	4.97e-29	13.602458	55.334049	0.7769036		
AGhsB101320	3.74e-27	5.23e-29	-13.594733	55.283707	-0.7842874	SATB1	SATB homeobox 1
AGhsC151219	3.98e-27	5.59e-29	13.584585	55.217583	0.8644761		
AGhsB211423	4.19e-27	5.91e-29	-13.576111	55.162356	-0.5481604		
AGhsB011023	4.24e-27	6.02e-29	13.573249	55.143705	0.8566173	FRYL	FRY-like
AGhsB241021	4.24e-27	6.04e-29	13.572826	55.140951	0.9074511		
AGhsC170324	4.35e-27	6.22e-29	13.568386	55.112014	0.684658		
AGhsA151310	4.93e-27	7.09e-29	13.548507	54.982457	0.6564808		
AGhsA150424	5.20e-27	7.51e-29	13.539579	54.924272	0.7478892	PDK2	pyruvate dehydrogenase kinase, isozyme 2
AGhsA060807	5.61e-27	8.13e-29	13.527571	54.846003	0.8112618	ATP10B	ATPase, class V, type 10B
AGhsC031211	6.36e-27	9.27e-29	13.507566	54.715609	0.6370704		
AGhsA180908	6.45e-27	9.43e-29	-13.504914	54.698323	-0.7277594	SRPR	signal recognition particle receptor ('docking protein')
AGhsC021211	6.45e-27	9.48e-29	13.504201	54.693677	0.8553588	GPR18	G protein-coupled receptor 18
AGhsC110404	7.28e-27	1.08e-28	13.484972	54.568332	0.4278538		
AGhsC041608	7.75e-27	1.15e-28	13.47479	54.501957	0.509124		
AGhsB081502	8.72e-27	1.30e-28	13.456099	54.380111	0.7733844	LOC440863	hypothetical gene supported by AK026773
AGhsA210301	8.74e-27	1.31e-28	13.455152	54.37394	0.8458086		
AGhsA180306	9.70e-27	1.46e-28	-13.438651	54.266359	-0.7219946	CTSW	cathepsin W
AGhsC081617	9.79e-27	1.48e-28	13.436458	54.252062	0.7505054		
AGhsA040322	1.04e-26	1.58e-28	13.426369	54.186289	0.6035074	HERPUD1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
AGhsA201507	1.05e-26	1.60e-28	13.424885	54.17661	0.5529734	RADIL	Rap GTPase interactor
AGhsC050224	1.08e-26	1.65e-28	13.419589	54.142081	0.7064892		
AGhsA181312	1.12e-26	1.72e-28	13.413433	54.101948	0.7819491	SLC3A2	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
AGhsC160901	1.14e-26	1.76e-28	13.409718	54.077725	0.7827881		
AGhsC241114	1.25e-26	1.93e-28	13.395856	53.987342	0.6994373		
AGhsA250115	1.53e-26	2.39e-28	-13.363692	53.777614	-0.6227156	DDOST	dolichyl-diphosphooligosaccharide-protein glycosyltransferase
AGhsC090401	1.68e-26	2.62e-28	13.349355	53.684129	0.5784265		
AGhsB161202	1.88e-26	2.95e-28	13.331357	53.56676	1.0420451		
AGhsC131420	1.88e-26	2.96e-28	13.330802	53.563142	0.5636725		
AGhsA010312	1.88e-26	2.97e-28	13.330404	53.560544	0.8121614	GPR109B	G protein-coupled receptor 109B
AGhsB080707	1.95e-26	3.11e-28	13.323464	53.515287	0.5943969	FBLIM1	filamin binding LIM protein 1
AGhsC200308	2.04e-26	3.26e-28	13.316206	53.467957	0.6126887		
AGhsB120118	2.59e-26	4.15e-28	13.279536	53.228811	0.7313022	FLJ22222	hypothetical protein FLJ22222
AGhsA100201	2.65e-26	4.27e-28	13.275174	53.200363	0.778317	EI24	etoposide induced 2.4 mRNA
AGhsB241207	3.19e-26	5.16e-28	13.246434	53.012919	0.5681317		
AGhsA240506	3.29e-26	5.35e-28	-13.240947	52.977132	-0.5940802	CCT7	chaperonin containing TCP1, subunit 7 (eta)
AGhsA190501	3.32e-26	5.42e-28	13.23898	52.964301	0.569621	ENTPD1	ectonucleoside triphosphate diphosphohydrolase 1
AGhsA180612	3.37e-26	5.51e-28	-13.236416	52.94758	-0.7238208	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)
AGhsB020812	3.53e-26	5.80e-28	13.228508	52.896	0.6777611		
AGhsA231106	3.95e-26	6.52e-28	13.210732	52.780054	0.5178218	NAGK	N-acetylglucosamine kinase
AGhsA170120	4.08e-26	6.76e-28	13.205171	52.743784	0.6880542		
AGhsA140621	4.32e-26	7.18e-28	-13.195989	52.683892	-1.1598838	CD97	CD97 molecule
AGhsA050703	4.75e-26	7.94e-28	-13.180819	52.584941	-1.0709046	ENO1	enolase 1, (alpha)
AGhsA021212	4.97e-26	8.33e-28	13.173497	52.53718	0.8119137	FANCA	Fanconi anemia, complementation group A
AGhsB230406	5.18e-26	8.72e-28	13.166527	52.491719	0.5052746		
AGhsB251111	5.19e-26	8.78e-28	-13.165572	52.48549	-0.5241055	KIAA1543	KIAA1543
AGhsB071121	5.25e-26	8.93e-28	13.16298	52.468577	0.573403	PELI2	pellino homolog 2 (Drosophila)
AGhsA151210	5.25e-26	8.94e-28	13.162665	52.466524	0.7072827	ZNF646	zinc finger protein 646
AGhsA031524	5.66e-26	9.69e-28	13.150544	52.38746	0.6259164	DNMT3B	DNA (cytosine-5-)-methyltransferase 3 beta
AGhsB140719	5.98e-26	1.03e-27	-13.141833	52.330638	-1.4049394	ADD3	adducin 3 (gamma)
AGhsC171609	6.01e-26	1.04e-27	13.140256	52.320352	0.5713966		
AGhsB080205	6.58e-26	1.14e-27	13.126074	52.227839	0.5241611		
AGhsA091406	7.83e-26	1.36e-27	13.098974	52.051061	0.7315145	FOXM1	forkhead box M1
AGhsA200906	7.94e-26	1.38e-27	13.096278	52.033472	0.7071462	CPSF4	cleavage and polyadenylation specific factor 4, 30kDa
AGhsB191422	8.58e-26	1.50e-27	13.083905	51.952761	0.5243565		
AGhsA241506	9.07e-26	1.59e-27	13.074916	51.894117	0.6671378	ADORA3	adenosine A3 receptor
